Date;P;D;E;CPI
01.01.1970;90,31;3,16;5,73;37,80
01.02.1970;87,16;3,17;5,68;38,00
01.03.1970;88,65;3,17;5,63;38,20
01.04.1970;85,95;3,17;5,59;38,50
01.05.1970;76,06;3,18;5,56;38,60
01.06.1970;75,59;3,18;5,52;38,80
01.07.1970;75,72;3,18;5,47;39,00
01.08.1970;77,92;3,19;5,41;39,00
01.09.1970;82,58;3,19;5,36;39,20
01.10.1970;84,37;3,17;5,28;39,40
01.11.1970;84,28;3,16;5,21;39,60
01.12.1970;90,05;3,14;5,13;39,80
01.01.1971;93,49;3,13;5,16;39,80
01.02.1971;97,11;3,12;5,19;39,90
01.03.1971;99,60;3,11;5,22;40,00
01.04.1971;103,00;3,11;5,25;40,10
01.05.1971;101,60;3,10;5,29;40,30
01.06.1971;99,72;3,10;5,32;40,60
01.07.1971;99,00;3,10;5,36;40,70
01.08.1971;97,24;3,09;5,39;40,80
01.09.1971;99,40;3,09;5,43;40,80
01.10.1971;97,29;3,08;5,52;40,90
01.11.1971;92,78;3,08;5,61;40,90
01.12.1971;99,17;3,07;5,70;41,10
01.01.1972;103,30;3,07;5,74;41,10
01.02.1972;105,20;3,07;5,77;41,30
01.03.1972;107,70;3,07;5,81;41,40
01.04.1972;108,80;3,07;5,86;41,50
01.05.1972;107,70;3,07;5,92;41,60
01.06.1972;108,00;3,07;5,97;41,70
01.07.1972;107,20;3,07;6,03;41,90
01.08.1972;111,00;3,08;6,08;42,00
01.09.1972;109,40;3,08;6,14;42,10
01.10.1972;109,60;3,10;6,23;42,30
01.11.1972;115,10;3,13;6,33;42,40
01.12.1972;117,50;3,15;6,42;42,50
01.01.1973;118,40;3,16;6,55;42,60
01.02.1973;114,20;3,16;6,67;42,90
01.03.1973;112,40;3,17;6,80;43,30
01.04.1973;110,30;3,19;6,94;43,60
01.05.1973;107,20;3,20;7,09;43,90
01.06.1973;104,80;3,22;7,23;44,20
01.07.1973;105,80;3,24;7,38;44,30
01.08.1973;103,80;3,25;7,54;45,10
01.09.1973;105,60;3,27;7,69;45,20
01.10.1973;109,80;3,31;7,85;45,60
01.11.1973;102,00;3,34;8,00;45,90
01.12.1973;94,78;3,38;8,16;46,20
01.01.1974;96,11;3,40;8,23;46,60
01.02.1974;93,45;3,42;8,29;47,20
01.03.1974;97,44;3,44;8,36;47,80
01.04.1974;92,46;3,46;8,49;48,00
01.05.1974;89,67;3,48;8,61;48,60
01.06.1974;89,79;3,50;8,74;49,00
01.07.1974;79,31;3,53;8,86;49,40
01.08.1974;76,03;3,56;8,99;50,00
01.09.1974;68,12;3,59;9,11;50,60
01.10.1974;69,44;3,59;9,04;51,10
01.11.1974;71,74;3,60;8,96;51,50
01.12.1974;67,07;3,60;8,89;51,90
01.01.1975;72,56;3,62;8,74;52,10
01.02.1975;80,10;3,65;8,60;52,50
01.03.1975;83,78;3,67;8,45;52,70
01.04.1975;84,72;3,68;8,29;52,90
01.05.1975;90,10;3,70;8,12;53,20
01.06.1975;92,40;3,71;7,96;53,60
01.07.1975;92,49;3,71;7,89;54,20
01.08.1975;85,71;3,71;7,83;54,30
01.09.1975;84,67;3,71;7,76;54,60
01.10.1975;88,57;3,70;7,83;54,90
01.11.1975;90,07;3,69;7,89;55,30
01.12.1975;88,70;3,68;7,96;55,50
01.01.1976;96,86;3,68;8,19;55,60
01.02.1976;100,60;3,69;8,43;55,80
01.03.1976;101,10;3,69;8,66;55,90
01.04.1976;101,90;3,71;8,86;56,10
01.05.1976;101,20;3,74;9,05;56,50
01.06.1976;101,80;3,76;9,25;56,80
01.07.1976;104,20;3,79;9,35;57,10
01.08.1976;103,30;3,82;9,45;57,40
01.09.1976;105,50;3,85;9,55;57,60
01.10.1976;101,90;3,92;9,67;57,90
01.11.1976;101,20;3,98;9,79;58,00
01.12.1976;104,70;4,05;9,91;58,20
